player_id,total_points,role,runs,batting_strike_rate,batting_average,100s,50s,wickets,bowling_strike_rate,economy,bowling_average,4w_per_innings
2236736,100,wicketkeeper,4031,115.6732609,43.81521739,2,38,NA,NA,NA,NA,NA
3125562,100,batsman,2532,136.3073418,31.8875,4,19,NA,NA,NA,NA,NA
313809,100,batsman,2798,114.3880952,33.30952381,3,20,NA,NA,NA,NA,NA
2162782,100,batsman,3498,123.3078351,36.06185567,6,26,NA,NA,NA,NA,NA
7491224,100,batsman,1990,122.3036842,34.9122807,4,9,NA,NA,NA,NA,NA
3298427,165,allrounder,762,111.541,24.58064516,0,5,23,15.30434783,6.801136364,17.347826,1
2288789,185,allrounder,719,114.475484,23.51612903,1,5,41,13.43902439,6.871143376,15.390244,1
5554254,110,bowler,795,118.920833,9.464285714,0,1,175,17.01142857,6.757809876,19.16,6
8246440,100,bowler,114,105.8675,14.25,0,0,23,10.73913043,5.198380567,9.304347826,1
5595302,110,bowler,11,60.238571,1.571428571,0,0,23,12.52173913,5.583333333,11.65217391,2
9455557,110,bowler,NA,NA,NA,NA,NA,15,14.4,6.055555556,14.53333333,2
